Entity,Code,Year,wat_sm_number_without
Cote d'Ivoire,CIV,2004,11790511.753916286
Cote d'Ivoire,CIV,2005,12034123.254002744
Cote d'Ivoire,CIV,2006,12288040.753352445
Cote d'Ivoire,CIV,2007,12551946.384555373
Cote d'Ivoire,CIV,2008,12827152.200758787
Cote d'Ivoire,CIV,2009,13114623.134528799
Cote d'Ivoire,CIV,2010,13414799.455702381
Cote d'Ivoire,CIV,2011,13728753.425204143
Cote d'Ivoire,CIV,2012,14057129.734805439
Cote d'Ivoire,CIV,2013,14399216.060717426
Cote d'Ivoire,CIV,2014,14753720.58211187
Cote d'Ivoire,CIV,2015,15118780.357977707
Cote d'Ivoire,CIV,2016,15494359.367727716
Cote d'Ivoire,CIV,2017,15880324.238447754
Cote d'Ivoire,CIV,2018,16275828.932264598
Cote d'Ivoire,CIV,2019,16679957.84790774
Cote d'Ivoire,CIV,2020,17091860.645278893
Croatia,HRV,2000,804303.3768586004
Croatia,HRV,2001,798307.7730218555
Croatia,HRV,2002,794235.9597695791
Croatia,HRV,2003,791133.0174824707
Croatia,HRV,2004,788381.3037833183
Croatia,HRV,2005,785494.1838074735
Croatia,HRV,2006,782348.2486408842
Croatia,HRV,2007,779017.2304498643
Cyprus,CYP,2000,41103.082273990345
Cyprus,CYP,2001,41843.85927206906
Cyprus,CYP,2002,42570.9345994456
Cyprus,CYP,2003,43368.35318402017
Cyprus,CYP,2004,41128.930231982864
Cyprus,CYP,2005,38805.77622560189
Cyprus,CYP,2006,36402.451121602964
Cyprus,CYP,2007,33905.48139621878
Cyprus,CYP,2008,31292.052690342316
Cyprus,CYP,2009,28539.004166075516
Cyprus,CYP,2010,25643.22346568172
Cyprus,CYP,2011,22615.94633724347
Cyprus,CYP,2012,19482.65417730993
Cyprus,CYP,2013,16270.189144599442
Cyprus,CYP,2014,13002.069457400316
Cyprus,CYP,2015,9687.330603375953
Cyprus,CYP,2016,6324.907046588411
Cyprus,CYP,2017,2909.917220216244
Cyprus,CYP,2018,2792.5786792262043
Cyprus,CYP,2019,2814.3418260629674
Cyprus,CYP,2020,2835.207352985948
Czechia,CZE,2000,378457.5671741046
Czechia,CZE,2001,378187.0510100151
Czechia,CZE,2002,365408.09887045505
Czechia,CZE,2003,352833.2861396496
Czechia,CZE,2004,340699.02309674455
Czechia,CZE,2005,329116.1403345256
Czechia,CZE,2006,318121.6256347178
Czechia,CZE,2007,307543.53018700646
Czechia,CZE,2008,297034.1678400496
Czechia,CZE,2009,286192.1293284774
Czechia,CZE,2010,274778.75605925894
Czechia,CZE,2011,262753.4506865071
Czechia,CZE,2012,250186.59813031284
Czechia,CZE,2013,237325.82527017858
Czechia,CZE,2014,224484.35741504625
Czechia,CZE,2015,224672.8984040866
Czechia,CZE,2016,225014.02868776413
Czechia,CZE,2017,225449.80047131068
Czechia,CZE,2018,225934.91069169834
Czechia,CZE,2019,226392.21433355135
Czechia,CZE,2020,226765.85760972093
Democratic Republic of Congo,COD,2000,42394821.17612352
Democratic Republic of Congo,COD,2001,43415085.28110402
Democratic Republic of Congo,COD,2002,44529474.60855011
Democratic Republic of Congo,COD,2003,45727685.09658741
Democratic Republic of Congo,COD,2004,46989096.56471742
Democratic Republic of Congo,COD,2005,48297776.459767796
Democratic Republic of Congo,COD,2006,49653125.49886046
Democratic Republic of Congo,COD,2007,51060851.653390065
Democratic Republic of Congo,COD,2008,52518159.47715314
Democratic Republic of Congo,COD,2009,54021152.80761491
Democratic Republic of Congo,COD,2010,55566700.71344755
Democratic Republic of Congo,COD,2011,57150884.761550926
Democratic Republic of Congo,COD,2012,58770754.34175228
Democratic Republic of Congo,COD,2013,60422798.5631286
Democratic Republic of Congo,COD,2014,62103193.57907377
Democratic Republic of Congo,COD,2015,63808349.82609211
Democratic Republic of Congo,COD,2016,65535420.15968856
Democratic Republic of Congo,COD,2017,67280526.44496383
Democratic Republic of Congo,COD,2018,69036846.32056165
Democratic Republic of Congo,COD,2019,70797226.21468154
Democratic Republic of Congo,COD,2020,72555729.33073989
Denmark,DNK,2000,325888.54090576374
Denmark,DNK,2001,326917.73666349653
Denmark,DNK,2002,327817.29796408414
Denmark,DNK,2003,328681.57811678335
Denmark,DNK,2004,307209.2590554541
Denmark,DNK,2005,285772.1065921146
Denmark,DNK,2006,264354.78747774084
Denmark,DNK,2007,242884.37692499615
Denmark,DNK,2008,221289.27155777588
Denmark,DNK,2009,199493.77053181455
Denmark,DNK,2010,180796.05737145973
Denmark,DNK,2011,181811.25156989024
Denmark,DNK,2012,182835.0739063569
Denmark,DNK,2013,183815.82006467623
Denmark,DNK,2014,184738.4851209588
Denmark,DNK,2015,185610.05605617946
Denmark,DNK,2016,186421.9412491479
Denmark,DNK,2017,187177.523098931
Denmark,DNK,2018,187900.03100752295
Denmark,DNK,2019,188621.12765368802
Denmark,DNK,2020,189363.0492940641
Ecuador,ECU,2000,5300323.062638576
Ecuador,ECU,2001,5326261.136654315
Ecuador,ECU,2002,5353785.530130153
Ecuador,ECU,2003,5382069.41874189
Ecuador,ECU,2004,5408447.783620416
Ecuador,ECU,2005,5433830.331337638
Ecuador,ECU,2006,5458707.700937471
Ecuador,ECU,2007,5482779.742465932
Ecuador,ECU,2008,5505453.275904721
Ecuador,ECU,2009,5525759.278186019
Ecuador,ECU,2010,5543134.963575061
Ecuador,ECU,2011,5558147.085049969
Ecuador,ECU,2012,5571016.192292489
Ecuador,ECU,2013,5582939.287970865
Ecuador,ECU,2014,5596659.030644519
Ecuador,ECU,2015,5613628.067569664
Ecuador,ECU,2016,5634756.60325625
